R,P,Y,dR,dP,qx,qy,qz,qw,ddx,ddy,ddz,FR0 q,FR0 dq,FR0 tauEst,FR1 q,FR1 dq,FR1 tauEst,FR2 q,FR2 dq,FR2 tauEst,FL0 q,FL0 dq,FL0 tauEst,FL1 q,FL1 dq,FL1 tauEst,FL2 q,FL2 dq,FL2 tauEst,RR0 q,RR0 dq,RR0 tauEst,RR1 q,RR1 dq,RR1 tauEst,RR2 q,RR2 dq,RR2 tauEst,RL0 q,RL0 dq,RL0 tauEst,RL1 q,RL1 dq,RL1 tauEst,RL2 q,RL2 dq,RL2 tauEst,FR foot force,FL foot force,RR foot force,RL foot force,time
0.013680183328688145,0.004584023728966713,0.2021258920431137,0.012013474479317665,0.0017518665408715606,0.9948731660842896,0.006573881022632122,0.0029703578911721706,0.10087276250123978,-0.7050309181213379,0.0118862921372056,11.28833293914795,0.03910807892680168,0.03910807892680168,2.1328125,0.7386285662651062,0.7386285662651062,0.0703125,-1.6088255643844604,-1.6088255643844604,5.54296875,-0.02983676828444004,-0.02983676828444004,-2.0234375,0.8054240942001343,0.8054240942001343,-0.17578125,-1.612365484237671,-1.612365484237671,5.578125,0.008597034960985184,0.008597034960985184,1.953125,0.820637583732605,0.820637583732605,-0.63671875,-1.6619248390197754,-1.6619248390197754,5.22265625,-0.046440839767456055,-0.046440839767456055,-1.8828125,0.7484899163246155,0.7484899163246155,0.17578125,-1.609541893005371,-1.609541893005371,5.29296875,0,0,0,0,0.0
0.013683181256055832,0.004849581979215145,0.20209483802318573,0.02353658154606819,-0.03128625452518463,0.9948745369911194,0.0065620229579508305,0.0031025053467601538,0.10085638612508774,2.436856985092163,1.0636862516403198,11.437427520751953,0.03898165374994278,0.03898165374994278,2.0234375,0.73858642578125,0.73858642578125,0.0703125,-1.6092469692230225,-1.6092469692230225,5.7578125,-0.02983676828444004,-0.02983676828444004,-2.1328125,0.8054240942001343,0.8054240942001343,-0.4609375,-1.6125762462615967,-1.6125762462615967,5.54296875,0.008597034960985184,0.008597034960985184,2.09375,0.8205954432487488,0.8205954432487488,-0.42578125,-1.6621356010437012,-1.6621356010437012,5.33203125,-0.046398699283599854,-0.046398699283599854,-2.0234375,0.7484477758407593,0.7484477758407593,0.0,-1.609710454940796,-1.609710454940796,5.3671875,0,0,0,0,0.020015716552734375
0.013732761144638062,0.004850370343774557,0.20195992290973663,-0.011424241587519646,-0.025590917095541954,0.9948811531066895,0.006586854811757803,0.003104953095316887,0.10078919678926468,0.1074398085474968,0.0882624089717865,11.210195541381836,0.03898165374994278,0.03898165374994278,1.953125,0.73858642578125,0.73858642578125,0.0,-1.6094576120376587,-1.6094576120376587,5.828125,-0.02983676828444004,-0.02983676828444004,-2.0234375,0.8054240942001343,0.8054240942001343,-0.35546875,-1.6127026081085205,-1.6127026081085205,5.1171875,0.008554892614483833,0.008554892614483833,2.0234375,0.8205533027648926,0.8205533027648926,-0.49609375,-1.662261962890625,-1.662261962890625,5.2578125,-0.04652512073516846,-0.04652512073516846,-2.203125,0.7484056353569031,0.7484056353569031,-0.2109375,-1.6098791360855103,-1.6098791360855103,5.1875,0,0,0,0,0.03999447822570801
0.013764758594334126,0.004793873056769371,0.20184452831745148,0.02268807776272297,-0.05336814746260643,0.9948869347572327,0.0066057974472641945,0.003078080713748932,0.10073193907737732,2.4856090545654297,0.9428471922874451,11.116840362548828,0.03902379423379898,0.03902379423379898,1.8828125,0.7385021448135376,0.7385021448135376,-0.10546875,-1.6094576120376587,-1.6094576120376587,5.828125,-0.02975248359143734,-0.02975248359143734,-2.16796875,0.8053398132324219,0.8053398132324219,-0.35546875,-1.6127026081085205,-1.6127026081085205,5.29296875,0.008470607921481133,0.008470607921481133,1.953125,0.8204268217086792,0.8204268217086792,-0.53125,-1.6624305248260498,-1.6624305248260498,5.33203125,-0.04652512073516846,-0.04652512073516846,-2.09375,0.7484477758407593,0.7484477758407593,0.10546875,-1.6099634170532227,-1.6099634170532227,5.1875,0,0,0,0,0.05999183654785156
0.013689049519598484,0.004652911797165871,0.20186065137386322,-0.01649484783411026,0.008909687399864197,0.9948864579200745,0.006575214210897684,0.0030042005237191916,0.10074057430028915,0.2011052668094635,0.3476182520389557,11.684497833251953,0.03910807892680168,0.03910807892680168,1.91796875,0.738375723361969,0.738375723361969,0.0,-1.6092047691345215,-1.6092047691345215,5.8984375,-0.02983676828444004,-0.02983676828444004,-2.23828125,0.8052977323532104,0.8052977323532104,-0.31640625,-1.6124919652938843,-1.6124919652938843,5.1171875,0.008428465574979782,0.008428465574979782,1.703125,0.8203425407409668,0.8203425407409668,-0.63671875,-1.6624727249145508,-1.6624727249145508,5.15234375,-0.04656726121902466,-0.04656726121902466,-2.05859375,0.7484056353569031,0.7484056353569031,0.0,-1.6099634170532227,-1.6099634170532227,5.1875,0,0,0,0,0.08000707626342773
0.013683130964636803,0.004364263731986284,0.20191863179206848,5.3336229029810056e-05,-0.03207046538591385,0.9948837757110596,0.006586731411516666,0.002860507695004344,0.10077044367790222,1.9601011276245117,0.7577025294303894,10.716371536254883,0.03910807892680168,0.03910807892680168,2.0234375,0.7382071614265442,0.7382071614265442,0.03515625,-1.609120488166809,-1.609120488166809,5.6875,-0.02979462593793869,-0.02979462593793869,-2.09375,0.8051712512969971,0.8051712512969971,-0.31640625,-1.6125762462615967,-1.6125762462615967,5.47265625,0.008386323228478432,0.008386323228478432,1.953125,0.8203004002571106,0.8203004002571106,-0.53125,-1.6625146865844727,-1.6625146865844727,5.08203125,-0.046398699283599854,-0.046398699283599854,-1.8125,0.7484056353569031,0.7484056353569031,0.2109375,-1.6102162599563599,-1.6102162599563599,5.33203125,0,0,0,0,0.09998703002929688
0.013615432195365429,0.0042572543025016785,0.20198366045951843,-0.0006903912872076035,0.0040612854063510895,0.9948807954788208,0.006558356340974569,0.002804078860208392,0.10080325603485107,-1.0169739723205566,-0.0055473740212619305,10.92986011505127,0.03927664831280708,0.03927664831280708,1.98828125,0.7380807399749756,0.7380807399749756,0.0,-1.608699083328247,-1.608699083328247,5.578125,-0.02987891063094139,-0.02987891063094139,-2.1328125,0.8051291704177856,0.8051291704177856,-0.31640625,-1.612365484237671,-1.612365484237671,5.40234375,0.008428465574979782,0.008428465574979782,2.0234375,0.8202582597732544,0.8202582597732544,-0.42578125,-1.6623461246490479,-1.6623461246490479,5.3671875,-0.046440839767456055,-0.046440839767456055,-2.23828125,0.7484056353569031,0.7484056353569031,0.10546875,-1.610047698020935,-1.610047698020935,5.47265625,0,0,0,0,0.12000846862792969
0.013538707047700882,0.004154866561293602,0.2020304799079895,-0.014683706685900688,-0.05493006110191345,0.9948787689208984,0.006525288335978985,0.0027494330424815416,0.10082701593637466,1.5787702798843384,0.824934184551239,10.001213073730469,0.03931879252195358,0.03931879252195358,1.8828125,0.7379964590072632,0.7379964590072632,0.03515625,-1.6084884405136108,-1.6084884405136108,5.61328125,-0.02983676828444004,-0.02983676828444004,-2.05859375,0.8050869703292847,0.8050869703292847,-0.28125,-1.6122812032699585,-1.6122812032699585,5.47265625,0.008470607921481133,0.008470607921481133,1.8125,0.8202582597732544,0.8202582597732544,-0.35546875,-1.662261962890625,-1.662261962890625,5.1875,-0.046398699283599854,-0.046398699283599854,-2.09375,0.7484477758407593,0.7484477758407593,0.24609375,-1.6099634170532227,-1.6099634170532227,5.22265625,0,0,0,0,0.13998174667358398
0.013399657793343067,0.004292305558919907,0.20203082263469696,-0.015214839950203896,0.01447780430316925,0.9948791265487671,0.006449188105762005,0.002810791600495577,0.10082689672708511,-0.7065908908843994,-0.33406978845596313,10.312832832336426,0.03927664831280708,0.03927664831280708,1.98828125,0.7379121780395508,0.7379121780395508,-0.17578125,-1.6085727214813232,-1.6085727214813232,5.6875,-0.02979462593793869,-0.02979462593793869,-1.953125,0.8050869703292847,0.8050869703292847,-0.31640625,-1.61232328414917,-1.61232328414917,5.4375,0.008470607921481133,0.008470607921481133,1.953125,0.8202582597732544,0.8202582597732544,-0.78125,-1.662219762802124,-1.662219762802124,5.1171875,-0.04635655879974365,-0.04635655879974365,-2.16796875,0.7484477758407593,0.7484477758407593,0.10546875,-1.6099634170532227,-1.6099634170532227,5.33203125,0,0,0,0,0.15998363494873047
0.013320600613951683,0.004453382920473814,0.20191991329193115,0.001129723503254354,-0.03180145472288132,0.9948848485946655,0.006401899270713329,0.0028865765780210495,0.10077129304409027,0.4471355080604553,0.004829185549169779,10.374366760253906,0.03927664831280708,0.03927664831280708,1.98828125,0.7379121780395508,0.7379121780395508,0.0703125,-1.608699083328247,-1.608699083328247,5.79296875,-0.02971034124493599,-0.02971034124493599,-1.84765625,0.8051712512969971,0.8051712512969971,-0.17578125,-1.6124075651168823,-1.6124075651168823,5.33203125,0.008470607921481133,0.008470607921481133,1.98828125,0.8202161192893982,0.8202161192893982,-0.28125,-1.662177562713623,-1.662177562713623,5.22265625,-0.04635655879974365,-0.04635655879974365,-1.91796875,0.7484899163246155,0.7484899163246155,0.2109375,-1.6099212169647217,-1.6099212169647217,5.5078125,0,0,0,0,0.17998695373535156
